"","pMed","pLow","pHigh","Disinfection","Percentile"
"1",1.7885879672358e-09,3.94935475406255e-11,2.55487270630942e-06,0,0.25
"2",1.35454546115615e-07,2.07548599123752e-10,2.36995103148028e-05,0,0.5
"3",3.04936391489142e-06,6.7521581953861e-09,0.000199499627397274,0,0.75
"4",3.38353325282648e-10,1.84505188904893e-16,1.44727005735101e-06,1,0.25
"5",1.99922023564003e-08,1.33400168689235e-13,1.88434047658339e-05,1,0.5
"6",1.22853803637584e-06,1.1637605956169e-08,0.000193951675604057,1,0.75
"7",1.89865391345134e-10,0,1.0746045120432e-06,2,0.25
"8",1.34566256466739e-08,2.86351720113487e-14,1.69943306265639e-05,2,0.5
"9",1.30669711654122e-06,2.21891937454699e-10,0.000206624882846246,2,0.75
"10",4.58490457239113e-11,5.51347856259099e-15,5.87239155015487e-07,4,0.25
"11",4.56612127061606e-09,1.6180818351863e-13,1.17590858008652e-05,4,0.5
"12",5.4414849259502e-07,2.25815700894139e-09,0.00018867773564935,4,0.75
