"","concentration","time","sim"
"1",0,420,"Sim1"
"2",0,425.210335484473,"Sim1"
"3",0,430.420670968946,"Sim1"
"4",0,435.631006453419,"Sim1"
"5",0.00011170966503236,440.841341937892,"Sim1"
"6",4.76883987543007e-05,446.051677422365,"Sim1"
"7",2.03579822309056e-05,451.262012906838,"Sim1"
"8",8.6907392854429e-06,456.472348391311,"Sim1"
"9",3.71004102817614e-06,461.682683875784,"Sim1"
"10",0.000113293466361414,466.893019360257,"Sim1"
"11",4.83645170588867e-05,472.10335484473,"Sim1"
"12",2.06466143676579e-05,477.313690329203,"Sim1"
"13",8.81395516319854e-06,482.524025813676,"Sim1"
"14",3.76264138204498e-06,487.734361298149,"Sim1"
"15",1.60625620481824e-06,492.944696782622,"Sim1"
"16",6.85704199137583e-07,498.155032267096,"Sim1"
"17",0.000112002389348259,503.365367751569,"Sim1"
"18",4.78133615665843e-05,508.575703236042,"Sim1"
"19",2.04113283439739e-05,513.786038720515,"Sim1"
"20",8.7135125227564e-06,518.996374204988,"Sim1"
"21",3.71976282997026e-06,524.206709689461,"Sim1"
"22",1.58795152644727e-06,529.417045173934,"Sim1"
"23",6.77890006865399e-07,534.627380658407,"Sim1"
"24",2.89388469203523e-07,539.83771614288,"Sim1"
"25",1.2353875298325e-07,545.048051627353,"Sim1"
"26",5.27381879819235e-08,550.258387111826,"Sim1"
"27",2.25137165824703e-08,555.468722596299,"Sim1"
"28",9.61101345631239e-09,560.679058080772,"Sim1"
"29",4.10290230487046e-09,565.889393565245,"Sim1"
"30",1.75151220002248e-09,571.099729049718,"Sim1"
"31",7.47713388931019e-10,576.310064534191,"Sim1"
"32",3.1919578520751e-10,581.520400018664,"Sim1"
"33",1.36263374178577e-10,586.730735503137,"Sim1"
"34",5.81702766860154e-11,591.94107098761,"Sim1"
"35",2.48326530157183e-11,597.151406472083,"Sim1"
"36",1.06009579278366e-11,602.361741956556,"Sim1"
"37",4.52550554774105e-12,607.572077441029,"Sim1"
"38",1.93191979461185e-12,612.782412925502,"Sim1"
"39",8.24728652620067e-13,617.992748409975,"Sim1"
"40",3.52073286038858e-13,623.203083894448,"Sim1"
"41",1.50298644709877e-13,628.413419378921,"Sim1"
"42",6.4161876226908e-14,633.623754863394,"Sim1"
"43",2.73904423350167e-14,638.834090347867,"Sim1"
"44",1.16928677187473e-14,644.04442583234,"Sim1"
"45",4.99163736809511e-15,649.254761316814,"Sim1"
"46",0.00011170966503449,654.465096801287,"Sim1"
"47",4.76883987552104e-05,659.67543228576,"Sim1"
"48",2.03579822312939e-05,664.885767770233,"Sim1"
"49",0.000120400404317968,670.096103254706,"Sim1"
"50",5.13984397825476e-05,675.306438739179,"Sim1"
"51",2.19417835599903e-05,680.516774223652,"Sim1"
"52",9.36685759004173e-06,685.727109708125,"Sim1"
"53",3.99867316493396e-06,690.937445192598,"Sim1"
"54",0.000113416682239172,696.147780677071,"Sim1"
"55",4.84171174127565e-05,701.358116161544,"Sim1"
"56",0.000132378734275782,706.568451646017,"Sim1"
"57",5.65119398120511e-05,711.77878713049,"Sim1"
"58",2.41247157920979e-05,716.989122614963,"Sim1"
"59",1.02987424247891e-05,722.199458099436,"Sim1"
"60",4.3964909865132e-06,727.409793583909,"Sim1"
"61",1.87684400650379e-06,732.620129068382,"Sim1"
"62",8.01217024111971e-07,737.830464552855,"Sim1"
"63",3.42036268066131e-07,743.040800037328,"Sim1"
"64",1.46013882820664e-07,748.251135521801,"Sim1"
"65",6.23327289147139e-08,753.461471006274,"Sim1"
"66",2.66095868344743e-08,758.671806490747,"Sim1"
"67",0.000111721024556061,763.88214197522,"Sim1"
"68",4.76932480884724e-05,769.092477459693,"Sim1"
"69",2.03600523918143e-05,774.302812944166,"Sim1"
"70",8.69162302866127e-06,779.513148428639,"Sim1"
"71",3.71041829453874e-06,784.723483913112,"Sim1"
"72",1.58396238252044e-06,789.933819397585,"Sim1"
"73",6.76187057651329e-07,795.144154882059,"Sim1"
"74",0.000111998326519514,800.354490366532,"Sim1"
"75",4.78116271616229e-05,805.564825851005,"Sim1"
"76",2.04105879335951e-05,810.775161335478,"Sim1"
"77",8.71319644459633e-06,815.985496819951,"Sim1"
"78",3.7196278974975e-06,821.195832304424,"Sim1"
"79",1.58789392432694e-06,826.406167788897,"Sim1"
"80",6.7786541675601e-07,831.61650327337,"Sim1"
"81",2.89377971786476e-07,836.826838757843,"Sim1"
"82",1.23534271678881e-07,842.037174242316,"Sim1"
"83",5.27362749314311e-08,847.247509726789,"Sim1"
"84",2.25128999090456e-08,852.457845211262,"Sim1"
"85",9.61066482177015e-09,857.668180695735,"Sim1"
"86",4.10275347421141e-09,862.878516180208,"Sim1"
"87",1.75144866482332e-09,868.088851664681,"Sim1"
"88",7.47686266014558e-10,873.299187149154,"Sim1"
"89",3.19184206545492e-10,878.509522633627,"Sim1"
"90",1.36258431295155e-10,883.7198581181,"Sim1"
"91",5.81681665893147e-11,888.930193602573,"Sim1"
"92",2.48317522240738e-11,894.140529087046,"Sim1"
"93",1.06005733835707e-11,899.350864571519,"Sim1"
"94",4.52534138736793e-12,904.561200055992,"Sim1"
"95",1.93184971522051e-12,909.771535540465,"Sim1"
"96",8.24698736014749e-13,914.981871024938,"Sim1"
"97",3.52060514762502e-13,920.192206509411,"Sim1"
