"","condition","risk"
"1","d_I1",0
"2","d_I1",0
"3","d_I1",0
"4","d_I1",0
"5","d_I1",3.04583749444198e-07
"6","d_I1",1.30025567313119e-07
"7","d_I1",5.55073844665799e-08
"8","d_I1",2.36958755950312e-08
"9","d_I1",1.01156724108264e-08
"10","d_I1",3.08902087242657e-07
"11","d_I1",1.3186904834761e-07
"12","d_I1",5.62943590631804e-08
"13","d_I1",2.40318318578403e-08
"14","d_I1",1.02590906880806e-08
"15","d_I1",4.37956382270954e-09
"16","d_I1",1.86961790493712e-09
"17","d_I1",3.05381881449129e-07
"18","d_I1",1.30366286654748e-07
"19","d_I1",5.5652836228326e-08
"20","d_I1",2.3757968370397e-08
"21","d_I1",1.01421795406509e-08
"22","d_I1",4.32965496788285e-09
"23","d_I1",1.84831194793844e-09
"24","d_I1",7.89036835868728e-10
"25","d_I1",3.36836558645359e-10
"26","d_I1",1.43794198770308e-10
"27","d_I1",6.13851192099446e-11
"28","d_I1",2.62050381394374e-11
"29","d_I1",1.1186829240728e-11
"30","d_I1",4.77562434042511e-12
"31","d_I1",2.03870254011917e-12
"32","d_I1",8.7030382900366e-13
"33","d_I1",3.71480624039577e-13
"34","d_I1",1.58650870218935e-13
"35","d_I1",6.77236045021345e-14
"36","d_I1",2.88657986402541e-14
"37","d_I1",1.23234755733392e-14
"38","d_I1",5.21804821573824e-15
"39","d_I1",2.22044604925031e-15
"40","d_I1",9.99200722162641e-16
"41","d_I1",4.44089209850063e-16
"42","d_I1",2.22044604925031e-16
"43","d_I1",1.11022302462516e-16
"44","d_I1",0
"45","d_I1",0
"46","d_I1",3.04583749444198e-07
"47","d_I1",1.30025567313119e-07
"48","d_I1",5.55073844665799e-08
"49","d_I1",3.2827961782278e-07
"50","d_I1",1.40141238391678e-07
"51","d_I1",5.98257233752619e-08
"52","d_I1",2.55393568515672e-08
"53","d_I1",1.09026470074269e-08
"54","d_I1",3.09238043394444e-07
"55","d_I1",1.32012466624865e-07
"56","d_I1",3.60939316101927e-07
"57","d_I1",1.54083532599714e-07
"58","d_I1",6.57776322299242e-08
"59","d_I1",2.8080202496561e-08
"60","d_I1",1.19873235782109e-08
"61","d_I1",5.11733944108528e-09
"62","d_I1",2.1845713016333e-09
"63","d_I1",9.3258456512757e-10
"64","d_I1",3.98116539734872e-10
"65","d_I1",1.69954272877249e-10
"66","d_I1",7.25528526146491e-11
"67","d_I1",3.04614721891028e-07
"68","d_I1",1.30038789292186e-07
"69","d_I1",5.55130289514594e-08
"70","d_I1",2.36982852230838e-08
"71","d_I1",1.01167010324588e-08
"72","d_I1",4.31877822393290e-09
"73","d_I1",1.84366877320485e-09
"74","d_I1",3.05370803865834e-07
"75","d_I1",1.30361557659775e-07
"76","d_I1",5.5650817398778e-08
"77","d_I1",2.3757106504263e-08
"78","d_I1",1.01418116127405e-08
"79","d_I1",4.32949787132486e-09
"80","d_I1",1.84824489046775e-09
"81","d_I1",7.89008192114693e-10
"82","d_I1",3.36824346192088e-10
"83","d_I1",1.43788980722093e-10
"84","d_I1",6.13828987638954e-11
"85","d_I1",2.62041499610177e-11
"86","d_I1",1.11863851515182e-11
"87","d_I1",4.77540229582019e-12
"88","d_I1",2.03859151781671e-12
"89","d_I1",8.7030382900366e-13
"90","d_I1",3.71480624039577e-13
"91","d_I1",1.58650870218935e-13
"92","d_I1",6.77236045021345e-14
"93","d_I1",2.88657986402541e-14
"94","d_I1",1.23234755733392e-14
"95","d_I1",5.21804821573824e-15
"96","d_I1",2.22044604925031e-15
"97","d_I1",9.99200722162641e-16
"98","d_I1",4.44089209850063e-16
"99","d_I1",2.22044604925031e-16
"100","d_I1",1.11022302462516e-16
"101","d_I1",0
"102","d_I1",0
"103","d_I1",0
"104","d_I1",0
"105","d_I1",0
"106","d_I1",0
"107","d_I1",0
"108","d_I1",3.04583749444198e-07
"109","d_I1",1.30025567313119e-07
"110","d_I1",5.55073844665799e-08
"111","d_I1",2.36958755950312e-08
"112","d_I1",1.01156724108264e-08
"113","d_I1",4.31833913072666e-09
"114","d_I1",1.84348125653599e-09
"115","d_I1",3.05370723818754e-07
"116","d_I1",1.30361523464906e-07
"117","d_I1",5.56508028548564e-08
"118","d_I1",2.37571002870141e-08
"119","d_I1",3.14725555283779e-07
"120","d_I1",1.34355063408087e-07
