"","df_conc","Q_05","Q_25","Q_50","Q_75","Q_95"
"1",0.001,5.10461140024176e-10,1.26080365592252e-09,2.52420195856473e-09,4.63692514940384e-09,1.24505534715436e-08
"2",0.0011,6.18514917061219e-10,1.30044233714877e-09,2.56242166374321e-09,4.21552479035192e-09,1.03247105087689e-08
"3",0.0012,3.4773044443881e-10,1.28951077593698e-09,2.59096510912826e-09,5.52209095117107e-09,1.17414856226627e-08
"4",0.0013,2.74110273368322e-10,1.5738353398298e-09,2.59814658676305e-09,4.71975031279825e-09,1.22527038737274e-08
"5",0.0014,6.61222510078829e-10,1.53141360703657e-09,2.67779842744176e-09,4.73153896618506e-09,1.24089600817001e-08
"6",0.0015,8.99338559179341e-10,1.84589407647984e-09,3.20216603233447e-09,6.68621763511013e-09,1.70705015289929e-08
"7",0.0016,8.25980450702701e-10,1.888921435933e-09,3.45282197278252e-09,6.24518897707205e-09,1.56990952515645e-08
"8",0.0017,8.79589329150221e-10,2.0408156831131e-09,3.87614113028789e-09,6.9755523857129e-09,1.47174241349468e-08
"9",0.0018,8.75733047189797e-10,2.35670455372983e-09,3.73773245687659e-09,7.45827810622046e-09,1.23175671384867e-08
"10",0.0019,8.73431810211045e-10,2.62780658344397e-09,4.9325668549649e-09,7.23153201209747e-09,1.93747259236154e-08
"11",0.002,6.90419227344918e-10,2.42239753256435e-09,4.49579556915936e-09,6.81024900361926e-09,1.84455703433617e-08
"12",0.0021,9.48134137868095e-10,2.45143269572701e-09,4.64413291156873e-09,9.29102231261858e-09,2.52922745525019e-08
"13",0.0022,1.41079635196384e-09,3.06201650146498e-09,5.32493310556603e-09,9.46235753640501e-09,2.53572296604609e-08
"14",0.0023,9.69744801126993e-10,2.53318399590086e-09,4.4897134898747e-09,9.35801880430631e-09,3.07214598815886e-08
"15",0.0024,1.19790434793821e-09,2.76999465032013e-09,4.91158080873078e-09,9.15011555413514e-09,1.84846175643738e-08
"16",0.0025,5.41461264713661e-10,2.83842585546701e-09,5.46327438843974e-09,1.04930923394697e-08,2.13670620419215e-08
"17",0.0026,1.23202202884087e-09,3.30522609282013e-09,6.31850477494922e-09,9.94433668743966e-09,1.74351573900555e-08
"18",0.0027,1.29288924011206e-09,3.31690311328181e-09,5.07476438649235e-09,8.83262762929604e-09,2.49008712316367e-08
"19",0.0028,7.07926101073397e-10,3.32223429322376e-09,6.12394651655634e-09,1.09092063993455e-08,2.72718394311866e-08
"20",0.0029,1.27121494442051e-09,2.66996841302714e-09,4.60975840832489e-09,9.62975754692508e-09,2.39873306606686e-08
"21",0.003,1.21319036483492e-09,3.28037405572523e-09,7.10244468793420e-09,1.27922747950038e-08,3.74680704573471e-08
"22",0.0031,9.58772072845448e-10,4.04006755827524e-09,7.75789754658973e-09,1.33147482483942e-08,3.63762933053291e-08
"23",0.0032,1.2346318079004e-09,3.5810113208079e-09,7.16274844991815e-09,1.21438540612306e-08,4.48853225420986e-08
"24",0.0033,1.65178027367041e-09,4.08286485176212e-09,7.9774280514755e-09,1.49719286690608e-08,2.922600844113e-08
"25",0.0034,1.53918836010014e-09,4.01152014384287e-09,7.53245499307553e-09,1.21622320825576e-08,3.27180073922406e-08
"26",0.0035,2.48564409055518e-09,4.65439142782742e-09,7.27181354021056e-09,1.73095074662566e-08,3.99210545010131e-08
"27",0.0036,1.34026295062206e-09,4.69147823367599e-09,8.35630636908391e-09,1.36149414520226e-08,3.01103965150151e-08
"28",0.0037,1.93336502918307e-09,4.45384912284297e-09,8.48968878530698e-09,1.53630119736903e-08,3.94129898662054e-08
"29",0.0038,1.39847102786916e-09,4.74241534931252e-09,8.00467347961131e-09,1.56047908761447e-08,3.3781827030177e-08
"30",0.0039,1.4169821649368e-09,4.72469774415174e-09,7.00758290284043e-09,1.9088119224131e-08,3.67100106313245e-08
"31",0.004,1.5557558075141e-09,4.54251411485806e-09,9.1711142014006e-09,1.50717331115491e-08,5.01610246228523e-08
"32",0.0041,2.3440270502384e-09,5.5191497760898e-09,1.04073851758812e-08,1.59538172672669e-08,3.06694736995627e-08
"33",0.0042,1.05286635521118e-09,4.70042219036237e-09,9.46877726226703e-09,1.74065140357005e-08,4.35627274752992e-08
"34",0.0043,1.82360037626061e-09,4.89111950940924e-09,9.06722236182489e-09,1.6358373461367e-08,4.20797265476836e-08
"35",0.0044,2.16705811628692e-09,4.54218368473036e-09,9.44461647778283e-09,1.72632998174382e-08,4.83109863780307e-08
"36",0.0045,1.68382113252541e-09,4.18339926588907e-09,9.45996136980654e-09,1.72470379644629e-08,3.43237121502859e-08
"37",0.0046,2.02019631023731e-09,5.79066586348098e-09,1.03124348505013e-08,1.8554796865633e-08,3.86975980093407e-08
"38",0.0047,3.08574775176318e-09,6.30375501797786e-09,1.17601887117402e-08,2.01629954676985e-08,4.05123424140896e-08
"39",0.0048,2.4639866313958e-09,6.15488912614204e-09,9.15460462991291e-09,1.91546659089603e-08,4.2505503766721e-08
"40",0.0049,2.21082743778744e-09,6.64510127479367e-09,1.01632876003954e-08,1.72416916299767e-08,3.60559048506737e-08
"41",0.005,3.39943240779128e-09,7.92577661834493e-09,1.08486957750564e-08,2.01984605985306e-08,5.13803539103907e-08
"42",0.0051,1.35389433553179e-09,5.37365238417742e-09,1.22799663770934e-08,2.15093355349083e-08,6.240459072826e-08
"43",0.0052,2.45961224720759e-09,6.06329042529552e-09,1.01814982000903e-08,1.95736029606763e-08,5.39763896190148e-08
"44",0.0053,1.74030834187988e-09,6.70389288526252e-09,1.08056590342187e-08,1.93009819793311e-08,4.01508587988264e-08
"45",0.0054,2.76198136583972e-09,7.25965210168766e-09,1.2709268359945e-08,2.19691052572024e-08,5.11099351008237e-08
"46",0.0055,2.77901816003734e-09,7.6826573713884e-09,1.41893476413024e-08,2.39357375864113e-08,4.87115240699332e-08
"47",0.0056,1.81144306776737e-09,4.17888310066949e-09,8.47994396924179e-09,2.04489395971841e-08,4.47623030030986e-08
"48",0.0057,2.5082295296297e-09,6.51128012618685e-09,1.20986594631667e-08,2.20512701154529e-08,5.14262249506902e-08
"49",0.0058,2.42807249861698e-09,6.45552167277685e-09,1.24004866930427e-08,2.40864172218469e-08,5.10927886110401e-08
"50",0.0059,3.44465890256274e-09,7.24202897650628e-09,1.4142809257045e-08,2.20987580734633e-08,5.24846104299481e-08
"51",0.006,2.81205244645477e-09,7.09021177880409e-09,1.20298453976098e-08,2.13418817895938e-08,4.06626476767702e-08
"52",0.0061,2.99286767035944e-09,6.52040205162407e-09,1.49653455738807e-08,2.85776430297702e-08,7.26571152909195e-08
"53",0.0062,2.64379125813896e-09,6.37900834932204e-09,1.202295829561e-08,2.40076294399927e-08,6.0910598470576e-08
