study,code,place,surface,material,gc_10cm,gc
abrahao,HCU29C,hospital,wall,brickwork,67.9,6.79
abrahao,HCU8A,hospital,floor,conctrete,11.7,1.17
abrahao,HCU29F,hospital,bench,plastic,299.8,29.98
abrahao,HCU29H,hospital,bench,plastic,392.8,39.28
abrahao,BT1C,bus terminal,handrail,metal,8.4,0.84
abrahao,BT1W,bus terminal,handrail,metal,8.4,0.84
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,1,0.1
abrahao,generic,generic,generic,metal,0,0
abby,generic,generic,generic,metal,1024.3,102.43
abby,generic,generic,generic,metal,25.4,2.54
abby,generic,generic,generic,metal,115.5,11.55
abby,generic,generic,generic,metal,1,0.1
abby,generic,generic,generic,metal,1,0.1
abby,generic,generic,generic,metal,1,0.1
abby,generic,generic,generic,metal,1,0.1
abby,generic,generic,generic,metal,1,0.1
abby,generic,generic,generic,metal,1,0.1
abby,generic,generic,generic,metal,1,0.1
abby,generic,generic,generic,metal,1,0.1
abby,generic,generic,generic,metal,1,0.1
abby,generic,generic,generic,metal,1,0.1
abby,generic,generic,generic,metal,1,0.1
abby,generic,generic,generic,metal,1,0.1
abby,generic,generic,generic,metal,1,0.1
abby,generic,generic,generic,metal,1,0.1
abby,generic,generic,generic,metal,1,0.1
abby,generic,generic,generic,metal,1,0.1
abby,generic,generic,generic,metal,1,0.1
abby,generic,generic,generic,metal,1,0.1
abby,generic,generic,generic,metal,1,0.1
abby,generic,generic,generic,metal,1,0.1
abby,generic,generic,generic,metal,1,0.1
abby,generic,generic,generic,metal,1,0.1
abby,generic,generic,generic,metal,1,0.1
abby,generic,generic,generic,metal,1,0.1
abby,generic,generic,generic,metal,1,0.1
abby,generic,generic,generic,metal,1,0.1
